,1,2,3,4,5
165,-0.388888889,0.055555556,2270594.876,298.2,0.552
166,-0.388888889,0.055555556,26636.86055,322.8,0.006
167,-0.388888889,0.055555556,215068.5869,323.1,0.047
168,-0.388888889,0.055555556,539807.3897,323.1,0.113
169,-0.388888889,0.055555556,868241.4264,323.1,0.174
170,-0.388888889,0.055555556,1205503.699,323.1,0.231
171,-0.388888889,0.055555556,1558918.318,323.1,0.285
172,-0.388888889,0.055555556,1927559.449,323.2,0.335
173,-0.388888889,0.055555556,2314778.412,323.2,0.382
174,-0.388888889,0.055555556,20052.37579,348.2,0.003
175,-0.388888889,0.055555556,197312.5726,348.2,0.029
176,-0.388888889,0.055555556,490471.0895,348.2,0.07
177,-0.388888889,0.055555556,786794.0942,348.2,0.109
178,-0.388888889,0.055555556,1084432.719,348.1,0.146
179,-0.388888889,0.055555556,1394818.524,348.1,0.182
180,-0.388888889,0.055555556,1692299.148,348.2,0.214
181,-0.388888889,0.055555556,2029232.751,348.2,0.248
182,-0.388888889,0.166666667,118034.8487,283.2,0.0206
183,-0.388888889,0.166666667,648527.0937,283.2,0.106
184,-0.388888889,0.166666667,134238.497,298.1,0.018
185,-0.388888889,0.166666667,597711.556,298.2,0.076
186,-0.388888889,0.166666667,1705692.681,298.2,0.19
187,-0.388888889,0.166666667,63938.79946,322.8,0.006
188,-0.388888889,0.166666667,524651.208,323.1,0.047
189,-0.388888889,0.166666667,1367233.468,323.1,0.113
190,-0.388888889,0.166666667,2321184.566,323.1,0.174
191,-0.388888889,0.166666667,43144.79071,348.2,0.003
192,-0.388888889,0.166666667,429615.8111,348.2,0.029
193,-0.388888889,0.166666667,1092124.116,348.2,0.07
194,-0.388888889,0.166666667,1800294.524,348.2,0.109
195,-0.388888889,0.166666667,2568889.057,348.1,0.146
196,-0.388888889,0.277777778,360872.237,283.2,0.0206
197,-0.388888889,0.277777778,374315.835,298.1,0.018
198,-0.388888889,0.277777778,154348.5185,322.8,0.006
199,-0.388888889,0.277777778,93048.80407,348.2,0.003
200,-0.388888889,0.277777778,960987.7583,348.2,0.029
201,-0.277777778,-0.5,274.0314362,322.8,0.006
202,-0.277777778,-0.5,405.3131264,348.2,0.003
203,-0.277777778,-0.388888889,797.0376805,322.8,0.006
204,-0.277777778,-0.388888889,930.3641473,348.2,0.003
205,-0.277777778,-0.277777778,1523.640482,283.2,0.0206
206,-0.277777778,-0.277777778,412010.5803,283.2,0.815
207,-0.277777778,-0.277777778,2466.679961,298.1,0.018
