,1,2,3,4
165,-0.388888889,0.055555556,2270594.876,298.2
184,-0.388888889,0.166666667,134238.497,298.1
185,-0.388888889,0.166666667,597711.556,298.2
186,-0.388888889,0.166666667,1705692.681,298.2
197,-0.388888889,0.277777778,374315.835,298.1
207,-0.277777778,-0.277777778,2466.679961,298.1
214,-0.277777778,-0.166666667,6679.799425,298.1
215,-0.277777778,-0.166666667,498950.4987,298.1
231,-0.277777778,-0.055555556,18078.99216,298.1
232,-0.277777778,-0.055555556,78863.78641,298.2
233,-0.277777778,-0.055555556,210523.8933,298.2
234,-0.277777778,-0.055555556,353595.6754,298.2
235,-0.277777778,-0.055555556,497914.5444,298.1
236,-0.277777778,-0.055555556,654707.7551,298.1
237,-0.277777778,-0.055555556,826022.6858,298.2
238,-0.277777778,-0.055555556,1024437.67,298.1
260,-0.277777778,0.055555556,49044.73744,298.1
261,-0.277777778,0.055555556,212627.9922,298.2
262,-0.277777778,0.055555556,559691.4658,298.2
263,-0.277777778,0.055555556,923341.2428,298.2
264,-0.277777778,0.055555556,1274042.796,298.1
265,-0.277777778,0.055555556,1634783.207,298.1
266,-0.277777778,0.055555556,2005318.438,298.2
267,-0.277777778,0.055555556,2402897.101,298.1
287,-0.277777778,0.166666667,133981.0008,298.1
288,-0.277777778,0.166666667,592372.639,298.2
289,-0.277777778,0.166666667,1655975.181,298.2
300,-0.277777778,0.277777778,373567.6639,298.1
308,-0.166666667,-0.277777778,2462.168719,298.1
313,-0.166666667,-0.166666667,6667.505565,298.1
328,-0.166666667,-0.055555556,18045.39881,298.1
329,-0.166666667,-0.055555556,78219.71157,298.2
330,-0.166666667,-0.055555556,205849.9866,298.2
331,-0.166666667,-0.055555556,340254.4987,298.2
332,-0.166666667,-0.055555556,471270.4955,298.1
333,-0.166666667,-0.055555556,608800.2351,298.1
334,-0.166666667,-0.055555556,753986.6129,298.2
335,-0.166666667,-0.055555556,915705.0197,298.1
357,-0.166666667,0.055555556,48952.47283,298.1
358,-0.166666667,0.055555556,210844.9488,298.2
359,-0.166666667,0.055555556,546523.36,298.2
360,-0.166666667,0.055555556,885071.7696,298.2
361,-0.166666667,0.055555556,1196244.878,298.1
362,-0.166666667,0.055555556,1498180.746,298.1
363,-0.166666667,0.055555556,1786107.178,298.2
383,-0.166666667,0.166666667,133723.9976,298.1
384,-0.166666667,0.166666667,587084.7858,298.2
385,-0.166666667,0.166666667,1608219.781,298.2
396,-0.166666667,0.277777778,372821.0345,298.1
405,-0.055555556,-0.277777778,2457.665636,298.1
410,-0.055555556,-0.166666667,6655.234101,298.1
411,-0.055555556,-0.166666667,187499.7251,298.1
427,-0.055555556,-0.055555556,18011.867,298.1
428,-0.055555556,-0.055555556,77580.88568,298.2
429,-0.055555556,-0.055555556,201281.7086,298.2
430,-0.055555556,-0.055555556,327436.7878,298.2
431,-0.055555556,-0.055555556,446141.0956,298.1
432,-0.055555556,-0.055555556,566391.1007,298.1
433,-0.055555556,-0.055555556,688947.0746,298.2
434,-0.055555556,-0.055555556,820196.9948,298.1
456,-0.055555556,0.055555556,48860.37998,298.1
457,-0.055555556,0.055555556,209077.0513,298.2
458,-0.055555556,0.055555556,533685.7894,298.2
459,-0.055555556,0.055555556,848595.9155,298.2
460,-0.055555556,0.055555556,1124153.135,298.1
461,-0.055555556,0.055555556,1376232.079,298.1
462,-0.055555556,0.055555556,1600015.276,298.2
482,-0.055555556,0.166666667,133467.4866,298.1
483,-0.055555556,0.166666667,581847.4304,298.2
