,Unnamed: 0,sc_param1,sc_param2,sc_param3,"SRK_kappa_A[emimTf2N,R125]","SRK_kappa_A[R125,emimTf2N]","SRK_kappa_B[emimTf2N,R125]",SSR
63,63,-0.0224847201019162,-0.0047972600387188,-0.2843411275765283,,,,
64,64,-0.0224847201019162,-0.0047972600387188,0.1227881018174115,,,,
65,65,-0.0224847201019162,-0.0047972600387188,-0.9733650510368196,,,,
66,66,-0.0224847201019162,-0.0047972600387188,0.4332009585365228,,,,
67,67,-0.0224847201019162,-0.0047972600387188,0.6256701507638724,,,,
68,68,-0.0224847201019162,-0.0047972600387188,0.6441624094833713,,,,
69,69,-0.0224847201019162,-0.0047972600387188,-0.9390032640147854,,,,
70,70,-0.0224847201019162,-0.0047972600387188,0.8206356120354508,,,,
71,71,-0.0224847201019162,-0.0047972600387188,-0.784946399771034,,,,
72,72,-0.0224847201019162,-0.0047972600387188,0.6840978069154164,,,,
