,Unnamed: 0,sc_param1,sc_param2,sc_param3,"PR_kappa_A[emimTf2N,R125]","PR_kappa_A[R125,emimTf2N]","PR_kappa_B[emimTf2N,R125]",SSR
42,42,-0.0056789448304904,-0.0024990880062536,-0.3501011032772994,,,,
43,43,-0.0056789448304904,-0.0024990880062536,-0.5673755277605946,,,,
44,44,-0.0056789448304904,-0.0024990880062536,-0.8378697585879167,,,,
45,45,-0.0056789448304904,-0.0024990880062536,0.1653640250343919,,,,
46,46,-0.0056789448304904,-0.0024990880062536,0.087596802791005,-0.0032772107034702643,-1.2265641866827681,1.3481544845638358,1.257545019088023
47,47,-0.0056789448304904,-0.0024990880062536,0.2800912542444298,0.0034245475449264113,-2.3891143377926434,2.6454683555471514,3.276309914588129
48,48,-0.0056789448304904,-0.0024990880062536,0.2178602511293332,0.002605582127369936,-2.1876325860187795,2.448054890569858,2.9217698230377676
49,49,-0.0056789448304904,-0.0024990880062536,-0.1107784576221422,-0.01586988557235508,-0.04867664254171067,0.014274890737387512,0.1879003818235488
50,50,-0.0056789448304904,-0.0024990880062536,-0.6632577660660575,,,,
51,51,-0.0056789448304904,-0.0024990880062536,0.5035759627830709,0.00526574226434474,-3.892555528331002,4.242266767476189,8.18970691590782
52,52,-0.0056789448304904,-0.0024990880062536,0.940924397061079,,,,
53,53,-0.0056789448304904,-0.0024990880062536,-0.696978617431351,,,,
54,54,-0.0056789448304904,-0.0024990880062536,0.6148079236213999,,,,
55,55,-0.0056789448304904,-0.0024990880062536,0.7701882705230949,,,,
56,56,-0.0056789448304904,-0.0024990880062536,-0.8441152479491307,,,,
57,57,-0.0056789448304904,-0.0024990880062536,-0.0606828476768244,-0.017536368318584274,0.2294295570141015,-0.2816299880191602,0.16955253854928382
58,58,-0.0056789448304904,-0.0024990880062536,0.4457463265222798,0.011641344965266778,-3.947198531012899,4.322832185021779,10.077117227641661
59,59,-0.0056789448304904,-0.0024990880062536,0.4293528286523747,0.01366786083107688,0.6742958469835709,-0.1730651993155175,10.269965069037223
60,60,-0.0056789448304904,-0.0024990880062536,0.6010363489205064,,,,
61,61,-0.0056789448304904,-0.0024990880062536,0.0631306544860186,-0.003277210696537583,-1.2265641801895166,1.3481544780872847,1.2575450190709252
62,62,-0.0056789448304904,-0.0024990880062536,0.1377623343077312,0.00012326770829150039,-1.4387769773912493,1.6469239627716048,1.1900918549200326
63,63,-0.0056789448304904,-0.0024990880062536,-0.2843411275765283,,,,
64,64,-0.0056789448304904,-0.0024990880062536,0.1227881018174115,0.00040816005560659807,-1.7834067474296225,1.976201849486076,1.6053491985227821
65,65,-0.0056789448304904,-0.0024990880062536,-0.9733650510368196,,,,
66,66,-0.0056789448304904,-0.0024990880062536,0.4332009585365228,0.01622677489145826,0.995657451599024,-0.3534030139852283,11.877547591096572
67,67,-0.0056789448304904,-0.0024990880062536,0.6256701507638724,,,,
68,68,-0.0056789448304904,-0.0024990880062536,0.6441624094833713,,,,
69,69,-0.0056789448304904,-0.0024990880062536,-0.9390032640147854,,,,
70,70,-0.0056789448304904,-0.0024990880062536,0.8206356120354508,,,,
71,71,-0.0056789448304904,-0.0024990880062536,-0.784946399771034,,,,
72,72,-0.0056789448304904,-0.0024990880062536,0.6840978069154164,,,,
73,73,-0.0056789448304904,-0.0024990880062536,0.0215335628356787,-0.017536368318597152,0.22942955701517928,-0.2816299880203587,0.16955253854805905
74,74,-0.0056789448304904,-0.0024990880062536,-0.9813282905542524,,,,
75,75,-0.0056789448304904,-0.0024990880062536,-0.7227387414231317,,,,
76,76,-0.0056789448304904,-0.0024990880062536,0.1966511908069439,0.013667851256662873,0.6742958775721108,-0.1730651532583649,10.26996497905953
77,77,-0.0056789448304904,-0.0024990880062536,0.4140133329637863,0.013667851248696827,0.6742958775974466,-0.17306515322076313,10.269964979007531
78,78,-0.0056789448304904,-0.0024990880062536,-0.924711865437781,,,,
79,79,-0.0056789448304904,-0.0024990880062536,-0.6298102583548376,,,,
80,80,-0.0056789448304904,-0.0024990880062536,-0.5145558513846487,,,,
81,81,-0.0056789448304904,-0.0024990880062536,0.3995471195161673,0.013667851256654507,0.6742958775726607,-0.17306515325982777,10.269964979089837
82,82,-0.0056789448304904,-0.0024990880062536,0.513751502875242,,,,
83,83,-0.0056789448304904,-0.0024990880062536,0.1750504821136034,-0.017536368289746224,0.22942955257242906,-0.2816299833155112,0.16955253848210028
84,84,-0.0056789448304904,-0.0024990880062536,0.7343485921295936,,,,
85,85,-0.0056789448304904,-0.0024990880062536,-0.0952493854880131,-0.01586979005287635,-0.048690561105377755,0.01428969892055306,0.18790222405833654
86,86,-0.0056789448304904,-0.0024990880062536,0.9575302496961072,,,,
87,87,-0.0056789448304904,-0.0024990880062536,-0.4729945154365681,,,,
88,88,-0.0056789448304904,-0.0024990880062536,0.3555579125142345,4.634900705992033e-06,-1.3880786147394426,1.5664386198310156,1.981731603568127
89,89,-0.0056789448304904,-0.0024990880062536,0.2122395704987802,0.000408160058842717,-1.7834067344514533,1.9762018366400667,1.6053491984242003
90,90,-0.0056789448304904,-0.0024990880062536,-0.4368323601346598,,,,
