,Unnamed: 0,sc_param1,sc_param2,"SRK_kappa_A[emimTf2N,R125]","SRK_kappa_A[R125,emimTf2N]",SSR
99,99,0.5493156940884014,-0.0047972600387188,,,
100,100,-0.2518573312554493,-0.0047972600387188,,,
101,101,0.6987421718075857,-0.0047972600387188,,,
102,102,-0.7103552093805969,-0.0047972600387188,,,
103,103,0.3855217343177988,-0.0047972600387188,,,
104,104,-0.605106098248309,-0.0047972600387188,,,
105,105,-0.2318804137708023,-0.0047972600387188,,,
106,106,-0.2794728006707,-0.0047972600387188,,,
107,107,0.8878621021093942,-0.0047972600387188,,,
108,108,0.6904466383773307,-0.0047972600387188,,,
109,109,0.2488961469680251,-0.0047972600387188,,,
110,110,0.7485469043482644,-0.0047972600387188,,,
111,111,-0.5172127163951745,-0.0047972600387188,,,
112,112,-0.8342520257175144,-0.0047972600387188,,,
113,113,0.3574711827263357,-0.0047972600387188,,,
